case_id,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q8_follow_up,Q9,Q10,Q10_follow_up,Q11,Q12,Q13,Q14,Q15,Q16,Q17,match,Q4a,Q4b,Q9a,Q10a,Q14a,Q15a,Q8a,Q4a1
Case3,Whole Exome Sequencing (WES),Not specified,Yes,Yes,Yes,Yes,No,Yes,No,,Yes,No,,Not specified,Not specified,Yes,Yes,No,Yes,"Submit the Whole Exome Sequencing Recommendation Form along with a three-generation pedigree, the ordering health care professional’s laboratory requisition form, and a copy of the genetics evaluation documentation to Cigna at 1.855.245.1104.",False,Yes,ACMG,Yes,Diagnostic,81415,,,
Case49,Cardiomyopathy gene testing,Not specified,No,No,Yes,Not required,No,No,No,,Yes,Yes,,Not specified,No,Yes,Yes,No,No,Submit prior authorization request through the UnitedHealthcare Provider Portal.,False,No,,No,,81439,,,
Case47,Genetic arrhythmia panel testing,Not specified,Not specified,No,Yes,Not required,No,No,No,,Yes,Yes,,Not specified,No,Not specified,Not listed,No,No,Not specified,False,No,,No,Screening,,,,
Case17,Whole Genome Sequencing (WGS),Yes,No,No,Yes,Not required,No,No,Yes,,Yes,Yes,,Not specified,No,Yes,Not listed,No,No,"Submit prior authorization request including detailed clinical documentation supporting medical necessity, as per UnitedHealthcare's requirements.",False,No,,No,Screening,,,Chromosome Microarray Analysis (CMA),
Case13,Whole genome sequencing (WGS),Not specified,Yes,Yes,No,Yes,No,Yes,No,,Not specified,No,,Not specified,Not specified,Yes,Not listed,No,Yes,Submit a prior authorization request through the UnitedHealthcare Provider Portal.,False,,,,,,,,
Case32,BRCA1 and BRCA2 genetic testing,Not specified,Yes,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Yes,No,Yes,Yes,No,Yes,"Obtain prior authorization through EviCore by Evernorth, ensure genetic counseling is provided, and submit the claim with CPT code 81211.",False,Yes,NCCN,Yes,Risk Assessment,81211,,,
Case43,Cardiomyopathy gene panel,Not specified,Not specified,Yes,Yes,Not specified,No,Yes,No,,Yes,No,,Yes,Not specified,Not specified,Not listed,No,Yes,"Submit the claim with appropriate documentation of medical necessity, including clinical evaluation, family history, and genetic counseling records.",False,Yes,ESC,Yes,Diagnostic,,,,
Case19,Whole Genome Sequencing (WGS),Not specified,Yes,No,No,No,No,No,Yes,Whole Exome Sequencing (WES),Not specified,No,Diagnostic,Not specified,No,Yes,No,No,No,"Submit a prior authorization request through EviCore by Evernorth® for the specific genetic test, ensuring all required clinical documentation is included.",False,,,,,,,,
Case4,Whole Exome Sequencing (WES),Not specified,Yes,Yes,Yes,Yes,No,Yes,No,,Yes,No,,Yes,Not specified,Yes,Yes,No,Yes,"Submit prior authorization request including clinical documentation supporting medical necessity, ensure test is ordered by a qualified specialist, and confirm genetic counseling has been provided.",False,Yes,ACMG,Yes,Diagnostic,81415,,,
Case20,Whole Genome Sequencing (WGS),Not specified,Not specified,No,No,Not specified,No,No,Yes,Targeted genetic testing for anxiety-related genes,Not specified,No,Diagnostic,Not specified,Not specified,Not specified,Not listed,No,No,"Submit a claim with appropriate documentation, including medical necessity justification and prior authorization if required.",False,,,,,,,,
Case5,Whole Exome Sequencing (WES),Not specified,Yes,Yes,Yes,Yes,No,Yes,No,,Yes,No,,Yes,Not specified,Not specified,Not listed,No,Yes,"Submit documentation demonstrating medical necessity, including clinical features, prior diagnostic studies, and family history. Ensure the test is ordered by an appropriate specialist and that genetic counseling has been provided.",False,Yes,ACMG,Yes,Diagnostic,,,,
Case38,BRCA testing,Not specified,Not specified,No,Not specified,Not specified,No,No,No,,No,No,,Not specified,No,Not specified,Not listed,No,No,"1. Verify fulfillment of any listed prerequisites. 2. Ensure compliance with all provider and clinical guidelines. 3. Confirm that genetic counseling has been provided if required. 4. Obtain necessary prior authorization if applicable. 5. Submit the claim with all required documentation, including genetic counseling records, prior authorization if received, and relevant clinical notes.",False,,,,,,,,
Case22,BRCA1/BRCA2 genetic testing,Yes,Yes,No,Yes,Not required,No,No,No,,Yes,Yes,,Yes,No,Not specified,Not listed,No,No,"Submit a claim with documentation of medical necessity, including detailed family and personal medical history, and ensure compliance with any prior authorization requirements as specified by the policy.",False,No,,No,Risk Assessment,,,,
Case30,BRCA1 and BRCA2 genetic testing,Yes,Not specified,No,Yes,Not required,No,No,No,,Yes,Yes,,Not specified,No,Yes,Yes,No,No,Submit prior authorization request through the UnitedHealthcare Provider Portal.,False,No,,No,,81162,,,
Case15,Whole Genome Sequencing (WGS),Not specified,Yes,No,Yes,Yes,No,No,Yes,,Not specified,No,,Yes,No,Yes,No,No,No,"Submit a completed Whole Exome Sequencing Recommendation Form, including a three-generation pedigree, the ordering provider's laboratory requisition form, and documentation of the genetics evaluation, to Cigna for prior authorization.",False,No,,,Diagnostic,,,Whole Exome Sequencing (WES),
Case31,BRCA1/2 genetic testing,Yes,Yes,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Yes,Not specified,Yes,Not listed,No,Yes,"1. Obtain prior authorization through EviCore by Evernorth®. 2. Ensure the test is performed in a CLIA-accredited laboratory. 3. Confirm that the test is FDA-approved or meets Cigna's criteria for medical necessity. 4. Submit the claim with appropriate documentation, including the genetic counseling report and prior authorization approval.",False,Yes,,Yes,Diagnostic,,,,NCCN
Case46,Mitochondrial DNA sequencing,Not specified,Yes,Yes,Yes,Not specified,No,Yes,No,,Yes,No,,Yes,Not specified,Not specified,Not listed,No,Yes,"Submit documentation of medical necessity, including clinical features, family history, and specialist recommendations, along with prior authorization if required.",False,Yes,ACMG,Yes,Diagnostic,,,,
Case29,BRCA1/BRCA2 genetic testing,Yes,Not specified,No,Yes,Not required,No,No,No,,Yes,No,,Not specified,No,Yes,Yes,No,No,Submit prior authorization request through the UnitedHealthcare Provider Portal or by phone at 877-303-7736.,False,No,,No,Risk Assessment,81162,,,
Case12,Whole Exome Sequencing (WES),Not specified,Yes,Yes,Not specified,Not specified,No,Yes,Yes,Targeted gene panel for known ocular and coordination-related genetic disorders,Not specified,No,Diagnostic,Not specified,Not specified,Yes,Not listed,No,Not specified,"Submit a prior authorization request through the UnitedHealthcare Provider Portal or by phone, ensuring all required clinical documentation is included.",False,,,,,,,,
Case6,Whole Exome Sequencing (WES),Yes,Yes,Yes,Yes,Yes,No,Yes,No,,Yes,No,,Yes,Yes,Yes,Yes,No,Yes,"Submit a prior authorization request through the UnitedHealthcare Provider Portal, ensuring all required clinical documentation is included.",False,Yes,ACMG,Yes,Diagnostic,81415,,,
Case21,BRCA1/BRCA2 genetic testing,Yes,Yes,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Yes,No,Yes,Yes,No,Yes,"Precertification is required for BRCA testing. The provider should submit a precertification request, including the patient's clinical information and family history, to Aetna for approval prior to testing.",False,Yes,NCCN,Yes,Risk Assessment,81211,,,
Case26,BRCA1 and BRCA2 genetic testing,Yes,Yes,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Yes,No,Yes,Yes,No,Yes,Prior authorization is required. Ensure the test is ordered by an appropriate specialist and that genetic counseling is provided prior to testing.,False,Yes,NCCN,Yes,Risk Assessment,81162,,,
Case28,BRCA testing,Yes,Not specified,No,Yes,Not required,No,No,No,,Yes,Yes,,Not specified,No,Yes,Yes,No,No,Submit a prior authorization request including detailed family history and medical necessity documentation.,False,No,,No,Risk Assessment,81211,,,
Case24,BRCA1 and BRCA2 gene testing,Yes,Not specified,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Not specified,No,Yes,Not listed,No,Yes,"Obtain prior authorization using the Aetna BRCA Prior Authorization Form, ensure the ordering physician signs the form, and submit it with the patient specimen and completed requisition form.",False,Yes,,Yes,Diagnostic,,,,NCCN
Case8,Whole Exome Sequencing (WES),Not specified,Yes,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Not specified,No,Not specified,Not listed,No,Yes,"Submit the claim with appropriate documentation of medical necessity, including clinical features, specialist evaluation, and prior diagnostic studies.",False,Yes,ACMG,No,Diagnostic,,,,
Case41,Limb-girdle muscular dystrophy panel,Not specified,Yes,Yes,Not specified,Not specified,No,Yes,No,,Not specified,No,,Not specified,Not specified,Yes,Not listed,No,Yes,Submit a prior authorization request through the UnitedHealthcare Provider Portal or by calling 877-303-7736.,False,,,,,,,,
Case40,Multi-gene panel testing for inherited cardiomyopathy,Yes,Yes,Yes,Yes,Not specified,No,Yes,No,,Yes,No,,Not specified,Not specified,Yes,Yes,No,Yes,Submit prior authorization request through the UnitedHealthcare Provider Portal.,False,Yes,,Yes,Diagnostic,81439,,,ACMG
Case50,Neuromuscular gene panel testing,Not specified,No,No,Not specified,Not specified,No,No,Not specified,,Not specified,Yes,,Not specified,Not specified,Yes,Not specified,No,No,Submit prior authorization request through the UnitedHealthcare Provider Portal or by calling 877-303-7736.,False,,,,,,,,
Case36,BRCA1 and BRCA2 gene analysis,Yes,Not specified,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Yes,Not specified,Yes,Yes,Yes,Yes,Obtain prior authorization and genetic counseling before testing.,False,Yes,NCCN,No,Diagnostic,81162,Tumor testing,,
Case35,BRCA1/2 and PALB2 genetic testing,Yes,Yes,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Yes,No,Yes,Yes,No,Yes,The policy requires prior authorization for genetic testing services. The CPT code 0129U is listed and covered under the policy. The patient must receive genetic counseling and evaluation services and obtain prior approval before undergoing BRCA testing.,False,Yes,NCCN,Yes,Risk Assessment,0129U,,,
Case48,Neuromuscular gene panel testing,Not specified,No,No,Yes,No,No,No,Yes,,Yes,Yes,,Yes,No,Not specified,Not listed,No,No,"Submit a claim with appropriate documentation, including medical necessity justification, prior authorization if required, and adherence to policy guidelines.",False,No,,No,Screening,,,Single-gene testing for specific suspected conditions,
Case45,DMD gene testing,Not specified,Yes,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Yes,Not specified,Not specified,Not listed,No,Yes,"Submit the claim with appropriate documentation of medical necessity, including clinical notes, family history, and prior evaluations, as per Aetna's policy requirements.",False,Yes,ACMG,Yes,Diagnostic,,,,
Case27,BRCA1/2 testing,Yes,Not specified,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Not specified,No,Yes,Yes,No,Yes,Submit a precertification request including the patient's clinical information and the specific CPT code 81162 for BRCA1/2 testing.,False,Yes,NCCN,No,Risk Assessment,81162,,,
Case18,Whole Genome Sequencing (WGS),Not specified,No,No,Yes,No,No,No,Yes,,Yes,No,,Not specified,No,Not specified,No,No,No,"Submit a claim with appropriate documentation, including medical necessity justification and prior authorization if required.",False,No,,No,Diagnostic,,,Chromosomal microarray (CMA),
Case16,Whole Genome Sequencing (WGS),Not specified,Yes,Yes,Yes,Yes,No,Yes,No,,Not specified,No,,Yes,Yes,Yes,Not listed,No,Yes,"Submit prior authorization request including clinical documentation supporting medical necessity, ensure genetic counseling is provided, and use a preferred genetic laboratory if applicable.",False,Yes,ACMG,,Diagnostic,,,,
