Provider,PDF Links,PDF Count,Webpage Links,Webpage Count,All Links,Total Count
Amerihealth Caritas (PA),[],0,"[""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/8894819e-9207-455c-90cf-d9158bc5272e.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/671d475a-c25a-455a-b661-4f052d57d2c8.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/ffe11b35-4ad0-4acf-9495-4187183a6fd2.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/aa657bfd-574f-4138-b483-6dffb7b85564.aspx"", ""https://provcomm.amerihealth.com/pnc-ah/news/Pages/Expanded-coverage-of-genetic-testing-and-breast-cancer-screenings.aspx""]",5,"[""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/8894819e-9207-455c-90cf-d9158bc5272e.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/671d475a-c25a-455a-b661-4f052d57d2c8.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/ffe11b35-4ad0-4acf-9495-4187183a6fd2.aspx"", ""https://medpolicy.amerihealth.com/ah/Commercial/Pages/Policy/aa657bfd-574f-4138-b483-6dffb7b85564.aspx"", ""https://provcomm.amerihealth.com/pnc-ah/news/Pages/Expanded-coverage-of-genetic-testing-and-breast-cancer-screenings.aspx""]",5
Anthem BC of California,"[""https://www.anthem.com/dam/medpolicies/abcbs/active/policies/mp_pw_b088866.html""]",1,"[""https://providers.anthem.com/california-provider/claims/prior-authorization-lookup-tool"", ""https://providers.anthem.com/california-provider/claims/prior-authorization-requirements""]",2,"[""https://www.anthem.com/dam/medpolicies/abcbs/active/policies/mp_pw_b088866.html"", ""https://providers.anthem.com/california-provider/claims/prior-authorization-lookup-tool"", ""https://providers.anthem.com/california-provider/claims/prior-authorization-requirements""]",3
Anthem BCBS Connecticut,[],0,"[""https://www.anthem.accrue-health.com/web/public/brands/medicalpolicy/external-policies/whole-genome-and-whole-exome-sequencing/""]",1,"[""https://www.anthem.accrue-health.com/web/public/brands/medicalpolicy/external-policies/whole-genome-and-whole-exome-sequencing/""]",1
Anthem BCBS Georgia,[],0,"[""https://www.anthem.com/docs/medicalpolicies/med/mp_pw_a053317.html"", ""https://www.anthem.com/docs/medicalpolicies/med/mp_pw_a053318.html"", ""https://www.anthem.com/docs/medicalpolicies/med/mp_pw_a053319.html""]",3,"[""https://www.anthem.com/docs/medicalpolicies/med/mp_pw_a053317.html"", ""https://www.anthem.com/docs/medicalpolicies/med/mp_pw_a053318.html"", ""https://www.anthem.com/docs/medicalpolicies/med/mp_pw_a053319.html""]",3
Anthem BCBS Indiana,[],0,"[""https://www.anthem.com/provider/policies/clinical-guidelines/""]",1,"[""https://www.anthem.com/provider/policies/clinical-guidelines/""]",1
Anthem BCBS Kentucky,[],0,"[""https://providernews.anthem.com/kentucky/articles/carelon-medical-benefits-management-inc-genetic-testing-code-2"", ""https://providernews.anthem.com/colorado/articles/genetic-tests-once-per-lifetimenbsp-10""]",2,"[""https://providernews.anthem.com/kentucky/articles/carelon-medical-benefits-management-inc-genetic-testing-code-2"", ""https://providernews.anthem.com/colorado/articles/genetic-tests-once-per-lifetimenbsp-10""]",2
Anthem BCBS Maine,"[""https://www.maine.gov/bhr/oeh/benefits/som-health-plan/coverage/Plan%20Booklet%20-%20Health%20July%201,%202024.pdf"", ""https://www.maine.gov/bhr/oeh/benefits/som-health-plan/coverage/Plan%20Booklet%20-%20Health%20July%201,%202023.pdf""]",2,[],0,"[""https://www.maine.gov/bhr/oeh/benefits/som-health-plan/coverage/Plan%20Booklet%20-%20Health%20July%201,%202024.pdf"", ""https://www.maine.gov/bhr/oeh/benefits/som-health-plan/coverage/Plan%20Booklet%20-%20Health%20July%201,%202023.pdf""]",2
Anthem BCBS Missouri,[],0,"[""https://www.anthem.accrue-health.com/web/public/brands/medicalpolicy/external-policies/whole-genome-and-whole-exome-sequencing/"", ""https://www.anthem.accrue-health.com/web/public/brands/medicalpolicy/external-policies/genetic-testing-for-familial-hypercholesterolemia/""]",2,"[""https://www.anthem.accrue-health.com/web/public/brands/medicalpolicy/external-policies/whole-genome-and-whole-exome-sequencing/"", ""https://www.anthem.accrue-health.com/web/public/brands/medicalpolicy/external-policies/genetic-testing-for-familial-hypercholesterolemia/""]",2
Anthem BCBS New Hampshire,[],0,[],0,[],0
Anthem BCBS Wisconsin,[],0,[],0,[],0
Anthem Health Plans of Virginia,[],0,"[""https://providers.anthem.com/virginia-provider/resources/prior-authorization-requirements"", ""https://mss.anthem.com/va/care/referrals-preapprovals.html"", ""https://mss.anthem.com/va/benefits/member-materials-forms.html""]",3,"[""https://providers.anthem.com/virginia-provider/resources/prior-authorization-requirements"", ""https://mss.anthem.com/va/care/referrals-preapprovals.html"", ""https://mss.anthem.com/va/benefits/member-materials-forms.html""]",3
APC Passe LLC dba Summit Community Care,[],0,[],0,[],0
Arizona Medicare,[],0,"[""https://www.azahcccs.gov/shared/News/PressRelease/RapidWholeGenomeTesting.html"", ""https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleId=59856"", ""https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleId=59967"", ""https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleId=59417"", ""https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdId=39365""]",5,"[""https://www.azahcccs.gov/shared/News/PressRelease/RapidWholeGenomeTesting.html"", ""https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleId=59856"", ""https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleId=59967"", ""https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleId=59417"", ""https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdId=39365""]",5
Arkansas Medicaid,"[""https://humanservices.arkansas.gov/wp-content/uploads/Arkansas-State-Plan-for-Medicaid.pdf"", ""https://www.armedicalboard.org/Professionals/pdf/LGC.pdf""]",2,"[""https://humanservices.arkansas.gov/divisions-shared-services/medical-services/forms-documents/arkansas-medicaid-state-plan/"", ""https://law.justia.com/codes/arkansas/title-23/subtitle-3/chapter-79/subchapter-26/section-23-79-2602/"", ""https://healthy.arkansas.gov/programs-services/community-family-child-health/newborn-screening/"", ""https://www.law.cornell.edu/regulations/arkansas/016-29-22-Ark-Code-R-SS-003"", ""https://geneticspolicy.nccrcg.org/medicaid-policy/arkansas/""]",5,"[""https://humanservices.arkansas.gov/wp-content/uploads/Arkansas-State-Plan-for-Medicaid.pdf"", ""https://www.armedicalboard.org/Professionals/pdf/LGC.pdf"", ""https://humanservices.arkansas.gov/divisions-shared-services/medical-services/forms-documents/arkansas-medicaid-state-plan/"", ""https://law.justia.com/codes/arkansas/title-23/subtitle-3/chapter-79/subchapter-26/section-23-79-2602/"", ""https://healthy.arkansas.gov/programs-services/community-family-child-health/newborn-screening/"", ""https://www.law.cornell.edu/regulations/arkansas/016-29-22-Ark-Code-R-SS-003"", ""https://geneticspolicy.nccrcg.org/medicaid-policy/arkansas/""]",7
Asuris Northwest Health,"[""https://www.asuris.com/provider/pre-authorization/commercial/GT01.pdf"", ""https://www.asuris.com/provider/pre-authorization/commercial/GT02.pdf"", ""https://www.asuris.com/provider/pre-authorization/commercial/GT05.pdf"", ""https://www.asuris.com/provider/pre-authorization/commercial/GT06.pdf"", ""https://www.asuris.com/provider/pre-authorization/commercial/GT08.pdf"", ""https://www.asuris.com/provider/pre-authorization/commercial/GT10.pdf""]",6,"[""https://www.asuris.com/provider/library/policies-guidelines"", ""https://www.asuris.com/provider/pre-authorization/commercial""]",2,"[""https://www.asuris.com/provider/pre-authorization/commercial/GT01.pdf"", ""https://www.asuris.com/provider/pre-authorization/commercial/GT02.pdf"", ""https://www.asuris.com/provider/pre-authorization/commercial/GT05.pdf"", ""https://www.asuris.com/provider/pre-authorization/commercial/GT06.pdf"", ""https://www.asuris.com/provider/pre-authorization/commercial/GT08.pdf"", ""https://www.asuris.com/provider/pre-authorization/commercial/GT10.pdf"", ""https://www.asuris.com/provider/library/policies-guidelines"", ""https://www.asuris.com/provider/pre-authorization/commercial""]",8
Avera Health Plans,[],0,[],0,[],0
Banner Health,[],0,"[""https://www.bannerhealth.com/bhpprovider/prior-authorizations/prior-auth-grids"", ""https://www.bannerhealth.com/medicaid/altcs/members/programs/prior-authorizations/med-necessity"", ""https://www.bannerhealth.com/bhpprovider/prior-authorizations/med-nec-criteria/med-nec-criteria"", ""https://www.bannerhealth.com/bhpprovider/prior-authorizations/med-nec-criteria"", ""https://www.bannerhealth.com/services/cancer/programs-care/genetic-counseling"", ""https://www.bannerhealth.com/services/cancer/programs-care/genetic-counseling/faq""]",6,"[""https://www.bannerhealth.com/bhpprovider/prior-authorizations/prior-auth-grids"", ""https://www.bannerhealth.com/medicaid/altcs/members/programs/prior-authorizations/med-necessity"", ""https://www.bannerhealth.com/bhpprovider/prior-authorizations/med-nec-criteria/med-nec-criteria"", ""https://www.bannerhealth.com/bhpprovider/prior-authorizations/med-nec-criteria"", ""https://www.bannerhealth.com/services/cancer/programs-care/genetic-counseling"", ""https://www.bannerhealth.com/services/cancer/programs-care/genetic-counseling/faq""]",6
BC of Idaho,[],0,"[""https://providers.bcidaho.com/medical-management/medical-policies/obgynr/mp_40205.page"", ""https://providers.bcidaho.com/medical-management/medical-policies/med/mp_20402.page""]",2,"[""https://providers.bcidaho.com/medical-management/medical-policies/obgynr/mp_40205.page"", ""https://providers.bcidaho.com/medical-management/medical-policies/med/mp_20402.page""]",2
BCBS Alabama,[],0,"[""https://providers.bcbsal.org/portal/resources/-/resource/viewArticle/TBUFOONPGI"", ""https://www.bcbsal.org/web/precertification.html"", ""https://al-policies.exploremyplan.com/portal/web/al-policies/member-policies/-/categories/436537505"", ""https://al-policies.exploremyplan.com/portal/web/al-policies/member-policies/-/categories/150512003"", ""https://al-policies.exploremyplan.com/portal/web/al-policies/member-policies/-/categories/150517002"", ""https://www.bcbsal.org/web/medical-policies""]",6,"[""https://providers.bcbsal.org/portal/resources/-/resource/viewArticle/TBUFOONPGI"", ""https://www.bcbsal.org/web/precertification.html"", ""https://al-policies.exploremyplan.com/portal/web/al-policies/member-policies/-/categories/436537505"", ""https://al-policies.exploremyplan.com/portal/web/al-policies/member-policies/-/categories/150512003"", ""https://al-policies.exploremyplan.com/portal/web/al-policies/member-policies/-/categories/150517002"", ""https://www.bcbsal.org/web/medical-policies""]",6
BCBS Arizona,[],0,"[""https://www.azblue.com/provider/resources/prior-authorization-and-medical-policies"", ""https://www.azblue.com/medicare/resources/prior-authorization-and-medical-policies""]",2,"[""https://www.azblue.com/provider/resources/prior-authorization-and-medical-policies"", ""https://www.azblue.com/medicare/resources/prior-authorization-and-medical-policies""]",2
BCBS Federal Employee Plan,[],0,"[""https://www.fepblue.org/en/policies"", ""https://www.2023-fep-blue-focus.fepbrochures-bcbsa.com/057a4492-6ad6-489e-93db-ec11df809437_18d9d1a9-e782-4b91-89c3-80320a58a1a3.html?ip=jhtstnkng0u0wt9sayn5bw&v=08466""]",2,"[""https://www.fepblue.org/en/policies"", ""https://www.2023-fep-blue-focus.fepbrochures-bcbsa.com/057a4492-6ad6-489e-93db-ec11df809437_18d9d1a9-e782-4b91-89c3-80320a58a1a3.html?ip=jhtstnkng0u0wt9sayn5bw&v=08466""]",2
BCBS Hawaii,[],0,"[""https://www.hmsa.com/help-center/services-your-plan-does-not-cover/"", ""https://hmsa.com/help-center/screening-and-diagnostic-tests/""]",2,"[""https://www.hmsa.com/help-center/services-your-plan-does-not-cover/"", ""https://hmsa.com/help-center/screening-and-diagnostic-tests/""]",2
BCBS Illinois,[],0,"[""https://www.bcbsil.com/provider/standards/standard-requirements/medical-policy.html"", ""https://eauth.bcbsil.com/provider/standards/standard-requirements/manual/hmo-scope-of-benefits""]",2,"[""https://www.bcbsil.com/provider/standards/standard-requirements/medical-policy.html"", ""https://eauth.bcbsil.com/provider/standards/standard-requirements/manual/hmo-scope-of-benefits""]",2
BCBS Kansas,[],0,"[""https://www.bcbsks.com/providers/medical-policies""]",1,"[""https://www.bcbsks.com/providers/medical-policies""]",1
BCBS Massachusetts,"[""https://www.bluecrossma.org/medical-policies/medical-policies-2023/954%20Carelon%20Genetic%20Testing%20Management%20Program%20prn.pdf""]",1,"[""https://provider.bluecrossma.com/ProviderHome/portal/home/clinical-resources/prior-authorization/genetic-testing/"", ""https://www.bluecrossma.org/medical-policies/""]",2,"[""https://www.bluecrossma.org/medical-policies/medical-policies-2023/954%20Carelon%20Genetic%20Testing%20Management%20Program%20prn.pdf"", ""https://provider.bluecrossma.com/ProviderHome/portal/home/clinical-resources/prior-authorization/genetic-testing/"", ""https://www.bluecrossma.org/medical-policies/""]",3
BCBS Michigan,[],0,[],0,[],0
BCBS Minnesota,"[""https://www.bluecrossmn.com/sites/default/files/DAM/2020-07/Genetic%20Molecular%20Lab%20Test%20Coding%20Reimbursement%20Policy%20Provider%20Bulletin%20P20-20.pdf"", ""https://www.bluecrossmn.com/sites/default/files/DAM/2020-07/Genetic%20Molecular%20Test%20Coding%20Reimbursement%20Policy.pdf""]",2,"[""https://www.bluecrossmn.com/providers/provider-priorities/geneticmolecular-lab-test-coding-reimbursement-policy"", ""https://www.bluecrossmn.com/providers/provider-priorities/preferred-genetic-lab-program"", ""https://securecms.bluecrossmnonline.com/content/medpolicy/en/minnesota/core/all/policies/Laboratory/VI-09/VI-09-011.html"", ""https://securecms.bluecrossmnonline.com/content/medpolicy/en/minnesota/core/all/policies/Laboratory/VI-56/VI-56-008.html"", ""https://securecms.bluecrossmnonline.com/content/medpolicy/en/minnesota/core/all/policies/Laboratory/VI-16/VI-16-009.html""]",5,"[""https://www.bluecrossmn.com/sites/default/files/DAM/2020-07/Genetic%20Molecular%20Lab%20Test%20Coding%20Reimbursement%20Policy%20Provider%20Bulletin%20P20-20.pdf"", ""https://www.bluecrossmn.com/sites/default/files/DAM/2020-07/Genetic%20Molecular%20Test%20Coding%20Reimbursement%20Policy.pdf"", ""https://www.bluecrossmn.com/providers/provider-priorities/geneticmolecular-lab-test-coding-reimbursement-policy"", ""https://www.bluecrossmn.com/providers/provider-priorities/preferred-genetic-lab-program"", ""https://securecms.bluecrossmnonline.com/content/medpolicy/en/minnesota/core/all/policies/Laboratory/VI-09/VI-09-011.html"", ""https://securecms.bluecrossmnonline.com/content/medpolicy/en/minnesota/core/all/policies/Laboratory/VI-56/VI-56-008.html"", ""https://securecms.bluecrossmnonline.com/content/medpolicy/en/minnesota/core/all/policies/Laboratory/VI-16/VI-16-009.html""]",7
BCBS Nebraska,[],0,"[""https://www.nebraskablue.com/en/Providers/Alerts-and-Updates/Medical-Policy-Update/MPC-April-2023"", ""https://www.nebraskablue.com/Providers/Alerts-and-Updates/medical-policy-update/genetic-testing-update-10022024""]",2,"[""https://www.nebraskablue.com/en/Providers/Alerts-and-Updates/Medical-Policy-Update/MPC-April-2023"", ""https://www.nebraskablue.com/Providers/Alerts-and-Updates/medical-policy-update/genetic-testing-update-10022024""]",2
