case_id,Q0,Q1,Q2,Q3,Q4,Q4_1,Q4_2,Q5,Q6,Q7,Q8,Q8_1,Q9,Q10,Q10_1,Q11,Q12,Q13,Q14,Q14_1,Q15,Q16,Q17,match,Q4.1,Q8.1,Q9.1,Q10.1,Q4_followup,Q9_followup,Q10_followup,Q14_followup,Q9_1,Q4.2,Q14.1,Q8_followup,Q8_alternative_test,Q10_purpose,Q10_reason,Q4_sub,Q8_sub,Q9_sub,Q10_sub,Q14_CPT_code,Q9_family_history
Case14,Whole Genome Sequencing (WGS),Not specified,Yes,No,Yes,,,Yes,No,No,Yes,,Yes,No,,Not specified,No,Not specified,No,,No,No,"The policy requires that any claims submitted must include necessary information for automated processing, such as ICD code and place of service. Claims may require submission of medical records for post-service review. Any individual gene or multi-gene panel is only reimbursable once per lifetime.",False,,,,,"{'guideline_match': 'Yes', 'guideline': 'ACMG'}",{'family_history_match': 'Yes'},Diagnostic,,,,,{'alternative_test': 'Nonsyndromic Hearing Loss and Deafness Multigene Panel Testing'},,,,,,,,,
Case9,Whole Exome Sequencing (WES),Not specified,Yes,No,Yes,,,Not required,No,No,Yes,,Not specified,Yes,,Yes,No,Yes,Not listed,,No,No,"The policy requires prior authorization. Medical necessity documentation must be submitted by a participating practitioner, including previous testing performed, the impact of the test on management, genetic counseling details, and testing location and interpretation details.",False,,,,,"{'match': 'No', 'guidelines': 'ACMG'}",,,,,,,{'alternative_test': 'Microarray Testing'},,,,,,,,,
Case1,Whole Exome Sequencing (WES),Yes,Yes,Yes,Yes,,,Yes,No,Yes,No,,Yes,No,,Yes,No,Not specified,Yes,,No,Yes,"The policy requires that the patient has been evaluated by a clinician with expertise in clinical genetics, genetic counseling has been provided, and there is potential for a change in management and clinical outcome. Ensure that all these criteria are documented and submitted with the claim.",False,Yes,,Yes,Diagnostic,,,,,,ACMG,81415,,,,,,,,,,
Case3,Whole Exome Sequencing (WES),Yes,Yes,Yes,Yes,,,Yes,No,Yes,No,,Yes,No,,Yes,No,Not specified,Yes,,No,Yes,"To submit the claim, ensure that the test was ordered by a clinical geneticist, confirm that genetic counseling was provided, and include the appropriate CPT code (81415) in the claim submission.",False,Yes,,Yes,Diagnostic,,,,,,ACMG,81415,,,,,,,,,,
Case49,Cardiomyopathy gene testing,Not specified,Not specified,No,Yes,,,Not required,No,No,Yes,,Yes,Yes,,Not specified,No,Yes,Not listed,,No,No,The policy requires preauthorization for genetic testing of cardiac disorders. Ensure that the test is ordered by a specialist in cardiac genetics and that the patient meets the medical necessity criteria outlined in the policy. Submit the claim with the appropriate documentation and preauthorization approval.,False,,,,,"{'match_criteria': 'No', 'guidelines': 'None of the above'}",{'relevant_family_history': 'No'},"{'screening_covered': 'No', 'purpose': 'Other'}",,,,,{'alternative_test': 'None specified'},,,,,,,,,
Case17,Whole Genome Sequencing (WGS),Yes,No,No,Yes,,,Not required,No,No,Yes,,Not specified,No,,Yes,No,Not specified,No,,No,No,"The policy requires that the patient be evaluated by a clinician with expertise in clinical genetics and that genetic counseling be provided. Additionally, there must be a potential for a change in management and clinical outcome, and previous genetic testing should be non-diagnostic. The test should not be used for screening purposes. Prior authorization details are not specified in the policy.",False,No,Comparative genomic hybridization (CHG)/chromosomal microarray analysis (CMA),,Diagnostic,,,,,,None of the above,,,,,,,,,,,
Case13,Whole genome sequencing (WGS),Not specified,Yes,Yes,Yes,,,Yes,No,Yes,No,,Yes,No,,Not specified,No,Not specified,No,,No,No,The policy does not provide specific steps for claim submission. It is recommended to refer to the member-specific benefit plan document and any applicable federal or state mandates for claim submission procedures.,False,,,,,"{'guideline_match': 'Yes', 'guideline': 'None of the above'}",{'family_history_match': 'Yes'},Diagnostic,,,,,,,,,,,,,,
Case32,BRCA testing,Yes,Yes,Yes,Yes,,,Not required,No,Yes,No,,Yes,No,,Yes,No,Not specified,Yes,,No,Yes,"Ensure the test is ordered by a qualified healthcare provider, confirm genetic counseling has been provided, and submit the claim with the appropriate CPT code and documentation of medical necessity based on family history and risk assessment.",False,,,,,"{'guideline_match': 'Yes', 'guideline': 'NCCN'}",{'family_history_match': 'Yes'},Risk Assessment,{'CPT_code': '81162'},,,,,,,,,,,,,
Case43,Cardiomyopathy gene panel,Not specified,Not specified,Yes,No,,,Yes,No,Yes,No,,Yes,No,,Not specified,No,Not specified,Yes,,No,Yes,The policy does not specify detailed steps for claim submission. It is recommended to consult the member’s health benefit plan for information or contact Capital Blue Cross for benefit information.,False,,,,,,Yes,Diagnostic,81439,,,,,,,,,,,,,
Case19,Whole Genome Sequencing (WGS),Not specified,Yes,No,Yes,,,Not required,No,No,Yes,,Not specified,No,,Yes,No,Not specified,No,,No,No,The policy does not specify steps for claim submission for this test. It is recommended to contact the insurance provider for detailed instructions.,False,,,,,"{'guideline_match': 'No', 'guideline': 'None of the above'}",,Diagnostic,,,,,{'alternative_test': 'POLG Full Gene Sequencing'},,,,,,,,,
Case4,Whole Exome Sequencing (WES),Yes,Yes,Yes,Yes,,,Yes,No,Yes,No,,Yes,No,,Yes,No,Not specified,Yes,,No,Yes,"To submit the claim, ensure that the test was ordered by a clinical geneticist, confirm that genetic counseling was provided, and include the relevant CPT code (81415) in the claim submission.",True,,,,,"{'guideline_match': 'Yes', 'guideline': 'ACMG'}",{'family_history_match': 'Yes'},Diagnostic,{'CPT_code': '81415'},,,,,,,,,,,,,
Case5,Whole Exome Sequencing (WES),Yes,Yes,Yes,No,,,Yes,No,Yes,No,,Yes,No,,Yes,No,Not specified,Yes,,No,Yes,"To submit the claim, ensure that the test was ordered by a clinician with expertise in clinical genetics, confirm that genetic counseling was provided, and verify that all medical necessity criteria are met as outlined in the policy. Include the appropriate CPT code (81415) and any necessary documentation supporting the medical necessity of the test.",False,,,,,,Yes,Diagnostic,81415,,,,,,,,,,,,,
Case38,BRCA testing,Not specified,Not specified,No,Yes,No,,Not required,No,No,No,,Yes,No,Risk Assessment,Not specified,No,Not specified,Not listed,,No,No,The policy does not specify steps for claim submission. It is recommended to contact Capital Blue Cross for specific claim submission procedures.,True,,,,,,,,,No,,,,,,,,,,,,
Case22,BRCA1/BRCA2 testing,Yes,Yes,No,Yes,,,Not required,No,No,Yes,,Yes,No,,Yes,No,Yes,Yes,,No,No,The provider must complete the Aetna Breast and Ovarian Cancer Susceptibility Gene Prior Authorization Form and submit it along with the Laboratory's Test Requisition Form to Aetna for precertification. Documentation of specific cancer diagnosis in the proband(s) and pertinent medical records may be required prior to authorization. A summary indicating how this testing will change the immediate medical care of the member must also be included with the Prior Authorization request.,True,,,,,"{'match_criteria': 'No', 'guidelines': 'NCCN'}",{'relevant_family_history': 'No'},Risk Assessment,{'CPT_code': '81162'},,,,{'alternative_test': 'Multigene panel testing'},,,,,,,,,
Case30,BRCA testing,Not specified,Not specified,No,No,,,Not required,No,No,No,,Not specified,No,,Not specified,No,Not specified,Not listed,,No,No,The policy does not provide specific steps for submitting a claim for BRCA testing. It is recommended to refer to the member-specific benefit plan document and any applicable federal or state mandates for claim submission procedures.,False,,,,,,,,,,,,,,,,,,,,,
Case15,Whole Genome Sequencing (WGS),Yes,Yes,Yes,Yes,,,Yes,No,Yes,No,,Yes,No,,Yes,No,Not specified,No,,No,Yes,"To submit the claim, ensure that the necessary information such as ICD code, place of service, and documentation from the ordering provider indicating how test results will impact medical care are included. Claims may require submission of medical records for post-service review.",False,,,,,"{'clinical_presentation_match': 'Yes', 'guideline_applicable': 'None of the above'}",{'family_history_alignment': 'No'},Diagnostic,,,,,,,,,,,,,,
Case31,BRCA1/2 testing,Yes,Yes,Yes,Yes,Yes,NCCN,Not required,No,Yes,No,,Yes,No,Diagnostic,Yes,No,Not specified,Yes,81162,No,Yes,"To submit the claim, ensure that the test is ordered by a suitably trained healthcare provider, confirm that genetic counseling is provided, and use the appropriate CPT code (81162) for billing.",False,,,,,,,,,Yes,,,,,,,,,,,,
Case46,Mitochondrial DNA sequencing,Not specified,Yes,Yes,Yes,,,Not required,No,Yes,No,,Yes,No,,Yes,No,Not specified,Yes,,No,Yes,Ensure that genetic counseling is documented as completed by a qualified professional. Submit the claim with the appropriate CPT code (81460) and include documentation of the patient's clinical presentation and family history supporting the medical necessity of the test.,False,Yes,,Yes,Diagnostic,,,,,,None of the above,81460,,,,,,,,,,
Case29,BRCA testing,Not specified,Not specified,No,No,,,Not required,No,No,Yes,,Not specified,No,,Not specified,No,Not specified,Not listed,,No,No,The policy does not provide specific steps for claim submission for this test. It is recommended to refer to the member-specific benefit plan document and applicable laws for guidance.,False,,,,,,,,,,,,,None specified,,Diagnostic,,,,,,
Case12,Whole Exome Sequencing (WES),Not specified,Yes,No,Yes,,,Not required,No,No,Yes,,Not specified,No,,Not specified,No,Not specified,Not listed,,No,No,The policy does not specify steps for claim submission for this test.,False,,,,,"{'guideline_match': 'No', 'guideline': 'None of the above'}",,Diagnostic,,,,,{'alternative_test': 'Single gene or multi-gene panel testing for known causative genes'},,,,,,,,,
Case6,Whole Exome Sequencing (WES),Yes,Yes,Yes,No,,,Yes,No,Yes,No,,Yes,No,,Yes,Yes,Not specified,Yes,,No,Yes,"To submit the claim, ensure that the test is ordered by an approved specialist, confirm that all prerequisite evaluations have been completed, and provide documentation of medical necessity based on the patient's clinical presentation and family history. Genetic counseling should be documented as provided. Include the appropriate CPT code (81415) in the claim submission.",True,,,Yes,Diagnostic,,,,,,,81415,,,,,,,,,,
Case21,BRCA1/BRCA2 testing,Yes,Not specified,Yes,Yes,,,Not required,No,Yes,No,,Yes,No,,Yes,No,Yes,Yes,,No,Yes,"The policy requires the completion of an Aetna Breast and Ovarian Cancer Susceptibility Gene Testing Prior Authorization Form, which must be submitted along with the Laboratory's Test Requisition Form to Aetna for precertification. Documentation of specific cancer diagnosis in the proband(s) and pertinent medical records may be required prior to authorization. A summary indicating how this testing will change the immediate medical care of the member must also be included with the Prior Authorization request.",True,,,,,"{'match_criteria': 'Yes', 'guidelines': 'NCCN'}",{'relevant_family_history': 'Yes'},Risk Assessment,{'CPT_code': '81162'},,,,,,,,,,,,,
Case26,BRCA testing,Not specified,Yes,Yes,Yes,,,Not required,No,Yes,No,,Yes,No,,Yes,No,Not specified,Yes,,No,Yes,"To submit the claim, ensure that the test is ordered by a suitably trained healthcare provider, confirm that genetic counseling is provided, and use the appropriate CPT code (81162) for billing.",False,Yes,,Yes,Risk Assessment,,,,,,NCCN,81162,,,,,,,,,,
Case28,BRCA testing,Yes,Not specified,No,Yes,,,Not required,No,No,Yes,,Yes,No,,Yes,No,Not specified,Not listed,,No,No,The policy requires precertification and consideration of both maternal and paternal family histories. The claim should be submitted with documentation of genetic counseling and any relevant family history details.,False,,,,,,,,,,,,,,,,"{'match_criteria': 'No', 'guidelines': 'NCCN'}",{'alternative_test': 'Testing restricted to the known familial mutation'},{'relevant_family_history': 'No'},Risk Assessment,,
Case24,BRCA testing,Yes,Not specified,Yes,Yes,,,Not required,No,Yes,No,,Yes,No,,Yes,No,Yes,Yes,,No,Yes,"The Aetna Breast and Ovarian Cancer Susceptibility Gene Testing Prior Authorization Form must be completed by the provider, confirming the basis for high-risk status. A copy of this form should be submitted to the requesting laboratory along with the laboratory's test requisition form. The blood specimen should not be tested by the laboratory until confirmation of coverage is received and the test is precertified.",True,Yes,,Yes,Risk Assessment,,,,,,NCCN,81162,,,,,,,,,,
Case8,Whole Exome Sequencing (WES),Yes,Yes,No,No,,,Not required,No,No,Yes,,No,No,,Yes,No,Not specified,Yes,,No,No,"The claim must include documentation of the medical necessity criteria being met, including evaluation by a clinician with expertise in clinical genetics, potential for change in management, and previous non-diagnostic genetic testing. Prior authorization may be required, and genetic counseling should be documented.",False,,,,,,,,,,,,,Single gene testing or comparative genomic hybridization (CHG)/chromosomal microarray analysis (CMA),,Diagnostic,,,,,81415,
Case41,Limb-girdle muscular dystrophy panel,Yes,Yes,Yes,Yes,,,Not required,No,Yes,No,,Yes,No,,Not specified,No,Not specified,Yes,,No,Yes,"Ensure that the test is ordered by a board-certified neurologist and that the patient's medical records, including family history and clinical presentation, are documented to support the medical necessity of the test. Submit the claim with the appropriate CPT code (81440) and any required prior authorization if specified by the plan.",True,,,,,"{'guideline_match': 'Yes', 'guideline': 'None of the above'}",{'family_history_match': 'Yes'},Diagnostic,{'CPT_code': '81440'},,,,,,,,,,,,,
Case40,Multi-gene panel testing for inherited cardiomyopathy risk,Not specified,Yes,No,No,,,Not required,No,No,Yes,,Yes,No,,Yes,No,Not specified,Yes,,No,No,"The policy requires that the service be medically necessary and covered under the member's health benefit plan. The claim should be submitted with the appropriate CPT code and documentation of medical necessity, including any relevant family history and clinical evaluations. Genetic counseling should be documented if required by the policy.",False,,,,,,,,,,,,,Targeted genetic testing for a known familial variant,Risk Assessment,,,,,,81439,Yes
Case50,Neuromuscular gene panel testing,Not specified,No,No,No,,,Not required,No,No,Yes,,Not specified,Yes,,Not specified,No,Not specified,Not listed,,No,No,The policy does not specify steps for claim submission. Refer to the member-specific benefit plan document for claim submission procedures.,True,,,,,,,,,,,,,Single gene or targeted genetic analysis,,,,,,,,
Case36,BRCA genetic testing,Yes,Not specified,Yes,Yes,,,Not required,No,Yes,No,,Yes,No,,Not specified,No,Not specified,Yes,,No,Yes,Ensure the test is ordered by a suitably trained healthcare provider with access to a CLIA-licensed laboratory. Submit the claim with the appropriate CPT code and any required documentation of medical necessity.,True,Yes,,No,Diagnostic,,,,,,NCCN,81162,,,,,,,,,,
Case35,BRCA1/2 and PALB2 testing,Yes,Yes,Yes,Yes,,,Not required,No,Yes,No,,Yes,No,,Yes,No,Not specified,Yes,,No,Yes,"Ensure the test is ordered by a qualified healthcare provider, confirm the test is performed in a CLIA-licensed laboratory, and submit the claim with the appropriate CPT code and documentation of medical necessity.",True,,,,,"{'guideline_match': 'Yes', 'applicable_guidelines': ['NCCN']}",{'family_history_match': 'Yes'},{'purpose': 'Diagnostic'},{'CPT_code': '81162'},,,,,,,,,,,,,
Case48,Neuromuscular gene panel testing,Not specified,No,No,No,,,No,No,No,Yes,,No,No,,Not specified,No,Not specified,Not listed,,No,No,"The policy requires that the test be ordered by or in consultation with a board-certified medical geneticist, developmental pediatrician, or neurologist. Additionally, the clinical presentation must support the use of a multi-gene panel, and there must be a high degree of suspicion of a specific neuromuscular disorder based on medical history, family history, laboratory, or other clinical tests. The patient must meet these criteria for the test to be covered.",False,,,,,,,,,,,,,Single gene or targeted genetic analysis,Diagnostic,,,,,,,
Case27,BRCA1/2 testing,Yes,Not specified,Yes,Yes,,,Not required,No,Yes,No,,Yes,No,,Not specified,No,Yes,Yes,,No,Yes,"The policy requires prior authorization for BRCA1/2 testing. Ensure that the appropriate CPT code (81162) is used when submitting the claim. The claim should include documentation of medical necessity based on the patient's clinical presentation and the NCCN guidelines. Additionally, confirm that the test was ordered by a qualified specialist.",False,,,,,"{'patient_clinical_presentation_matches_criteria': 'Yes', 'guidelines': 'NCCN'}",{'patient_has_relevant_family_history': 'No'},Risk Assessment,{'CPT_code': '81162'},,,,,,,,,,,,,
Case18,Whole Genome Sequencing (WGS),Yes,No,No,Yes,No,None of the above,No,No,No,Yes,Chromosomal microarray analysis (CMA),Yes,No,Diagnostic,Yes,No,Not specified,No,,No,No,"The policy requires that the patient be evaluated by a clinician with expertise in clinical genetics and that genetic counseling be provided. Additionally, chromosomal microarray analysis or other first-line testing should be performed or deemed unavailable for the clinical presentation. Prior authorization details are not specified in the policy.",False,,,,,,,,,No,,,,,,,,,,,,
Case16,Whole Genome Sequencing (WGS),Not specified,Yes,No,No,,,Yes,No,No,Yes,,No,No,,Not specified,No,Not specified,Not listed,,No,No,The policy does not specify steps for claim submission for this test.,False,,,,,,,,,,,,,Congenital Heart Malformation Panels,Diagnostic,,,,,,,
